"";"E";"N";"CLAY";"SILT";"SAND";"Gamma";"DEM";"ERa";"GWI";"optional"
"1";455124.705;5504473.763;31.7;21.8;46.5;1.63634192943573;89.0611801147461;32.4402084350586;4.6005859375;TRUE
"2";455303.679;5504663.613;48.9;42.6;8.5;2.02207684516907;88.8935241699219;17.7253913879395;11.3853569030762;TRUE
"3";455071.31;5504477.718;48.4;42.7;8.9;2.01709651947021;89.3089981079102;22.8533916473389;9.09099960327148;TRUE
"4";455149.425;5504536.057;41.2;41.7;17.1;1.79968345165253;89.3949966430664;39.6255645751953;4.75024509429932;TRUE
"5";454918.045;5504477.718;29.7;37.6;32.7;1.68058037757874;90.3100357055664;32.0007247924805;5.27799987792969;TRUE
"6";455185.022;5504647.792;44.4;45.9;9.7;1.93808043003082;89.2259979248047;19.2468910217285;9.96956539154053;TRUE
"7";458155.976;5499829.114;32.7;33.8;33.5;NA;NA;NA;NA;TRUE
"8";458212.637;5499835.803;34.6;28.2;37.2;NA;NA;NA;NA;TRUE
"9";458027.704;5499871.215;55.8;35.5;8.7;NA;NA;NA;NA;TRUE
"10";458222.867;5499906.628;50.8;34;15.2;NA;NA;NA;NA;TRUE
"11";458130.007;5499980.208;44.5;39.6;15.9;NA;NA;NA;NA;TRUE
"12";458123.318;5499923.154;43.7;34.1;22.2;NA;NA;NA;NA;TRUE
"13";458170.966;5497606.812;40.9;59.1;0;NA;NA;NA;NA;TRUE
"14";458156.436;5497541.771;46.2;51.5;2.3;NA;NA;NA;NA;TRUE
"15";458260.57;5497537.62;48.6;47.1;4.3;NA;NA;NA;NA;TRUE
"16";458203.262;5497523.867;51.1;48.9;0;NA;NA;NA;NA;TRUE
"17";458122.995;5497531.027;51.3;45.8;2.9;NA;NA;NA;NA;TRUE
"18";458217.671;5497490.223;39.5;59.2;1.3;NA;NA;NA;NA;TRUE
"19";457173.282;5496646.989;33.8;51.3;14.9;NA;NA;NA;NA;TRUE
"20";457014.069;5496741.119;22.1;42.6;35.3;NA;NA;NA;NA;TRUE
"21";457058.175;5496817.498;30.9;47.1;22;NA;NA;NA;NA;TRUE
"22";457135.092;5496706.694;33;55.2;11.8;NA;NA;NA;NA;TRUE
"23";457083.456;5496631.391;21.9;43.4;34.7;NA;NA;NA;NA;TRUE
"24";457115.191;5496802.976;31.8;47.9;20.3;NA;NA;NA;NA;TRUE
"25";456322.449;5497173.864;29.4;56.3;14.3;NA;NA;NA;NA;TRUE
"26";456329.084;5496977.469;21.6;46.4;32;NA;NA;NA;NA;TRUE
"27";456337.045;5496942.304;20.3;41;38.7;NA;NA;NA;NA;TRUE
"28";456307.188;5497106.851;31.1;58.5;10.4;NA;NA;NA;NA;TRUE
"29";456500.266;5496945.621;31.3;60.4;8.3;NA;NA;NA;NA;TRUE
"30";456260.08;5497173.864;33.2;59.1;7.7;NA;NA;NA;NA;TRUE
"31";455649.956;5493078.435;34.9;63.8;1.3;NA;NA;NA;NA;TRUE
"32";455758.241;5493116.731;36.3;60.5;3.2;NA;NA;NA;NA;TRUE
"33";455739.225;5493081.076;36;63.3;0.7;NA;NA;NA;NA;TRUE
"34";455701.458;5493074.737;34.1;65.5;0.4;NA;NA;NA;NA;TRUE
"35";455650.484;5493028.254;30.5;63.8;5.7;NA;NA;NA;NA;TRUE
"36";453809.489;5494685.698;12.9;25.6;61.5;NA;NA;NA;NA;TRUE
"37";453757.488;5494631.064;17.1;25.5;57.4;NA;NA;NA;NA;TRUE
"38";453698.246;5494631.064;14.9;20.1;65;NA;NA;NA;NA;TRUE
"39";453843.718;5494618.228;14.3;21.6;64.1;NA;NA;NA;NA;TRUE
"40";453641.638;5494684.71;15.2;28.1;56.7;NA;NA;NA;NA;TRUE
"41";453626.827;5494587.949;16.6;20.5;62.9;NA;NA;NA;NA;TRUE
"42";451587.688;5493585.851;22.4;34.9;42.7;NA;NA;NA;NA;TRUE
"43";451489.439;5493647.652;15.6;61.7;22.7;NA;NA;NA;NA;TRUE
"44";451474.385;5493371.129;21.3;35;43.7;NA;NA;NA;NA;TRUE
"45";451891.944;5493217.417;14;19.9;66.1;NA;NA;NA;NA;TRUE
"46";451678.014;5493245.94;23;33.1;43.9;NA;NA;NA;NA;TRUE
"47";451508.455;5493620.713;19.1;61.1;19.8;NA;NA;NA;NA;TRUE
"48";451456.161;5493505.033;23.5;37.8;38.7;NA;NA;NA;NA;TRUE
"49";451907.79;5493159.576;18.7;25.8;55.5;NA;NA;NA;NA;TRUE
"50";451565.503;5493484.432;20.1;29.2;50.7;NA;NA;NA;NA;TRUE
