"Y";"X";"mod";"alpha";"beta";"theta"
"CLAY";"Gamma";"";NA;NA;NA
"CLAY";"Gamma";"";NA;NA;NA
"CLAY";"ERa";"";NA;NA;NA
"CLAY";"ERa";"";NA;NA;NA
"CLAY";"GWI";"";NA;NA;NA
"CLAY";"GWI";"";NA;NA;NA
"SILT";"Gamma";"";NA;NA;NA
"SILT";"Gamma";"";NA;NA;NA
"SILT";"ERa";"dec_decr";70.6719;0.013;NA
"SILT";"ERa";"dec_decr_pot";296.215;0.1355;41.2468
"SILT";"GWI";"grw_incr";31.9914;0.0615;NA
"SILT";"GWI";"grw_incr_pot";0.3612;0.4509;39.9315
"SAND";"Gamma";"";NA;NA;NA
"SAND";"Gamma";"";NA;NA;NA
"SAND";"ERa";"";NA;NA;NA
"SAND";"ERa";"";NA;NA;NA
"SAND";"GWI";"";NA;NA;NA
"SAND";"GWI";"";NA;NA;NA
