"";"Longitude";"Latitude";"variable";"obs";"sim";"var"
"1";455649.956;5493078.435;"SAND";1.3;1.2;"0.063 - 2 mm"
"2";455758.241;5493116.731;"SAND";3.2;3;"0.063 - 2 mm"
"3";455739.225;5493081.076;"SAND";0.7;0.7;"0.063 - 2 mm"
"4";455701.458;5493074.737;"SAND";0.4;0.4;"0.063 - 2 mm"
"5";455650.484;5493028.254;"SAND";5.7;0.6;"0.063 - 2 mm"
"6";455649.956;5493078.435;"CLAY";34.9;36.2;"< 0.002 mm"
"7";455758.241;5493116.731;"CLAY";36.3;36;"< 0.002 mm"
"8";455739.225;5493081.076;"CLAY";36;34.7;"< 0.002 mm"
"9";455701.458;5493074.737;"CLAY";34.1;34.3;"< 0.002 mm"
"10";455650.484;5493028.254;"CLAY";30.5;32.7;"< 0.002 mm"
"11";455649.956;5493078.435;"SILT";63.8;62.6;"0.002 - 0.063 mm"
"12";455758.241;5493116.731;"SILT";60.5;61;"0.002 - 0.063 mm"
"13";455739.225;5493081.076;"SILT";63.3;64.6;"0.002 - 0.063 mm"
"14";455701.458;5493074.737;"SILT";65.5;65.3;"0.002 - 0.063 mm"
"15";455650.484;5493028.254;"SILT";63.8;66.7;"0.002 - 0.063 mm"
