"y";"x";"mod";"info";"r2"
"CLAY";"Gamma";"lin";"";8e-04
"CLAY";"Gamma";"log";"";0.0032
"CLAY";"Gamma";"exp";"grw_decr";0
"CLAY";"Gamma";"exp";"grw_decr_pot";0.0129
"CLAY";"GWI";"lin";"";8e-04
"CLAY";"GWI";"log";"";0.0562
"CLAY";"GWI";"exp";"grw_decr";0.2673
"CLAY";"GWI";"exp";"grw_decr_pot";0.3045
"CLAY";"DEM";"lin";"";0.0915
"CLAY";"DEM";"log";"";0.0905
"CLAY";"ERa";"lin";"";0.1665
"CLAY";"ERa";"log";"";0.066
"CLAY";"ERa";"exp";"dec_incr";0
"CLAY";"ERa";"exp";"dec_incr_pot";0
"SILT";"Gamma";"lin";"";0.7695
"SILT";"Gamma";"log";"";0.7549
"SILT";"Gamma";"exp";"grw_incr";0.8116
"SILT";"Gamma";"exp";"grw_incr_pot";0
"SILT";"GWI";"lin";"";0.4305
"SILT";"GWI";"log";"";0.4094
"SILT";"GWI";"exp";"grw_incr";0.4286
"SILT";"GWI";"exp";"grw_incr_pot";0.431
"SILT";"DEM";"lin";"";0.7202
"SILT";"DEM";"log";"";0.7191
"SILT";"ERa";"lin";"";0.3422
"SILT";"ERa";"log";"";0.3555
"SILT";"ERa";"exp";"dec_decr";0.3513
"SILT";"ERa";"exp";"dec_decr_pot";0.3553
"SAND";"Gamma";"lin";"";0.768
"SAND";"Gamma";"log";"";0.7646
"SAND";"Gamma";"exp";"dec_decr";0.7442
"SAND";"Gamma";"exp";"dec_decr_pot";0
"SAND";"GWI";"lin";"";0.4316
"SAND";"GWI";"log";"";0.4729
"SAND";"GWI";"exp";"dec_incr";0
"SAND";"GWI";"exp";"dec_incr_pot";0
"SAND";"DEM";"lin";"";0.5992
"SAND";"DEM";"log";"";0.5989
"SAND";"ERa";"lin";"";0.4509
"SAND";"ERa";"log";"";0.421
"SAND";"ERa";"exp";"grw_decr";0
"SAND";"ERa";"exp";"grw_decr_pot";0.41
