"y";"x";"mod";"info";"r2"
"CLAY";"Gamma";"lin";"";0.9249
"CLAY";"Gamma";"log";"";0.9176
"CLAY";"Gamma";"exp";"grw_incr";0.9482
"CLAY";"Gamma";"exp";"grw_incr_pot";0
"CLAY";"DEM";"lin";"";2e-04
"CLAY";"DEM";"log";"";2e-04
"CLAY";"ERa";"lin";"";0.6317
"CLAY";"ERa";"log";"";0.5196
"CLAY";"ERa";"exp";"dec_incr";0
"CLAY";"ERa";"exp";"dec_incr_pot";0
"CLAY";"GWI";"lin";"";0.3665
"CLAY";"GWI";"log";"";0.5252
"CLAY";"GWI";"exp";"grw_decr";0
"CLAY";"GWI";"exp";"grw_decr_pot";0.6909
"SILT";"Gamma";"lin";"";0.873
"SILT";"Gamma";"log";"";0.8639
"SILT";"Gamma";"exp";"grw_incr";0.9037
"SILT";"Gamma";"exp";"grw_incr_pot";0
"SILT";"DEM";"lin";"";0.0053
"SILT";"DEM";"log";"";0.0053
"SILT";"ERa";"lin";"";0.5464
"SILT";"ERa";"log";"";0.433
"SILT";"ERa";"exp";"dec_incr";0
"SILT";"ERa";"exp";"dec_incr_pot";0
"SILT";"GWI";"lin";"";0.2852
"SILT";"GWI";"log";"";0.4385
"SILT";"GWI";"exp";"grw_decr";0
"SILT";"GWI";"exp";"grw_decr_pot";0.6129
"SAND";"Gamma";"lin";"";0.8954
"SAND";"Gamma";"log";"";0.887
"SAND";"Gamma";"exp";"dec_incr";0.8954
"SAND";"Gamma";"exp";"dec_incr_pot";0.8954
"SAND";"DEM";"lin";"";0.0014
"SAND";"DEM";"log";"";0.0014
"SAND";"ERa";"lin";"";0.5812
"SAND";"ERa";"log";"";0.4679
"SAND";"ERa";"exp";"grw_incr";0.5998
"SAND";"ERa";"exp";"grw_incr_pot";0
"SAND";"GWI";"lin";"";0.3175
"SAND";"GWI";"log";"";0.4735
"SAND";"GWI";"exp";"dec_decr";0.3491
"SAND";"GWI";"exp";"dec_decr_pot";0
