dist;gamma
0;0
0.5;0.00885830620695798
1;0.0222806664135916
1.5;0.0377542460375836
2;0.0544742276314343
2.5;0.0720030111499221
3;0.0900612133162938
3.5;0.10845469359705
4;0.127041324794799
4.5;0.14571338119162
5;0.164387215729704
5.5;0.182996755979917
6;0.201489176033505
6.5;0.219821890332218
7;0.237960392424609
7.5;0.255876656502528
8;0.27354792683988
8.5;0.290955782430238
9;0.308085401747783
9.5;0.324924976180191
10;0.341465235991216
10.5;0.357699062868704
11;0.373621170074011
11.5;0.38922783606236
12;0.404516680894035
12.5;0.419486477251783
13;0.434136989713105
13.5;0.448468837292226
14;0.462483375297737
14.5;0.476182593339665
15;0.48956902692807
15.5;0.502645680579853
16;0.515415960724164
16.5;0.527883616993622
17;0.54005269072624
17.5;0.55192746969471
18;0.563512448235484
18.5;0.574812292077545
19;0.585831807275608
19.5;0.596575912739311
20;0.607049615922214
20.5;0.617257991294888
21;0.627206161277192
21.5;0.636899279347792
22;0.646342515085409
22.5;0.6555410409273
23;0.664500020457054
23.5;0.673224598056554
24;0.681719889776618
24.5;0.689990975297789
25;0.698042890867496
25.5;0.705880623112602
26;0.71350910363755
26.5;0.720933204328096
27;0.728157733289196
27.5;0.735187431353189
28;0.742026969101036
28.5;0.748680944345302
29;0.755153880028751
29.5;0.761450222497053
30;0.767574340108231
30.5;0.773530522145138
31;0.779322978000502
31.5;0.784955836607049
32;0.790433146087798
32.5;0.795758873603991
33;0.800936905380241
33.5;0.805971046888363
34;0.810865023173097
34.5;0.81562247930445
35;0.820246980942798
35.5;0.824742015004157
36;0.829110990414164
36.5;0.833357238940357
37;0.837484016093271
37.5;0.841494502087759
38;0.845391802856664
38.5;0.849178951109745
39;0.852858907431344
39.5;0.856434561410914
40;0.859908732801038
40.5;0.863284172698056
41;0.866563564740893
41.5;0.869749526324054
42;0.872844609821138
42.5;0.875851303815579
43;0.878772034335612
43.5;0.881609166090751
44;0.88436500370735
44.5;0.887041792961027
45;0.889641722003969
45.5;0.892166922585331
46;0.894619471263139
46.5;0.89700139060624
47;0.899314650385052
47.5;0.901561168749957
48;0.903742813396339
48.5;0.905861402715386
49;0.907918706929865
49.5;0.909916449214213
50;0.911856306798344
50.5;0.913739912054669
51;0.915568853567927
51.5;0.917344677187436
52;0.919068887061512
52.5;0.9207429466538
53;0.922368279741343
53.5;0.923946271394271
54;0.925478268937007
54.5;0.926965582890967
55;0.928409487898729
55.5;0.929811223629699
56;0.931171995667347
56.5;0.932492976378068
57;0.933775305761806
57.5;0.935020092284543
58;0.93622841369283
58.5;0.937401317810504
59;0.938539823317794
59.5;0.939644920513001
60;0.940717572056969
60.5;0.941758713700573
61;0.942769254995443
61.5;0.943750079988176
62;0.944702047898275
62.5;0.945625993780077
63;0.946522729168921
63.5;0.947393042711816
64;0.948237700782892
64.5;0.94905744808388
65;0.949853008229912
65.5;0.950625084320898
66;0.951374359498766
66.5;0.952101497490831
67;0.952807143139563
67.5;0.953491922919035
68;0.954156445438319
68.5;0.954801301932098
69;0.955427066738759
69.5;0.956034297766246
70;0.956623536945924
70.5;0.957195310674713
71;0.957750130245769
71.5;0.958288492267948
72;0.95881087907431
72.5;0.959317759119922
73;0.959809587369192
73.5;0.960286805672985
74;0.960749843135752
74.5;0.961199116472921
75;0.96163503035876
75.5;0.962057977764954
76;0.962468340290119
76.5;0.962866488480462
77;0.963252782141815
77.5;0.963627570643242
78;0.963991193212436
78.5;0.964343979223105
79;0.964686248474546
79.5;0.965018311463605
80;0.965340469649208
80.5;0.965653015709667
81;0.965956233792914
81.5;0.966250399759883
82;0.966535781421175
82.5;0.966812638767214
83;0.967081224192033
83.5;0.967341782710876
84;0.967594552171764
