dist;gamma
0;0
0.5;0.0003208415091962
1;0.0011138479244863
1.5;0.00228313531226526
2;0.00377775358400326
2.5;0.00556222479843309
3;0.00760928866761662
3.5;0.00989682627061564
4;0.0124062520439018
4.5;0.015121563743826
5;0.0180287331210687
5.5;0.0211152912135958
6;0.0243700330690777
6.5;0.0277827998951719
7;0.031344313643117
7.5;0.0350460483807883
8;0.0388801282510535
8.5;0.0428392451260235
9;0.046916591167791
9.5;0.051105802881399
10;0.0554009141723674
10.5;0.059796316561131
11;0.0642867251586368
11.5;0.0688671493326573
12;0.0735328672326341
12.5;0.0782794035181433
13;0.0831025097698131
13.5;0.0879981471637428
14;0.092962471069498
14.5;0.0979918172935338
15;0.103082689738632
15.5;0.108231749288779
16;0.113435803760089
16.5;0.118691798783609
17;0.123996809506466
17.5;0.129348033014653
18;0.134742781394776
18.5;0.140178475363638
19;0.145652638404268
19.5;0.151162891355124
20;0.156706947406112
20.5;0.162282607460857
21;0.16788775582969
21.5;0.173520356222019
22;0.179178448010446
22.5;0.18486014274213
23;0.190563620875638
23.5;0.196287128723873
24;0.20202897558577
24.5;0.207787531051234
25;0.213561222465371
25.5;0.219348532539484
26;0.225147997097517
26.5;0.230958202947704
27;0.236777785870167
27.5;0.242605428712048
28;0.248439859582522
28.5;0.254279850140726
29;0.260124213970222
29.5;0.265971805034206
30;0.2718215162061
30.5;0.277672277870668
31;0.283523056591138
31.5;0.289372853838224
32;0.295220704777213
32.5;0.301065677109618
33;0.306906869966154
33.5;0.312743412848016
34;0.318574464613691
34.5;0.324399212508711
35;0.330216871235958
35.5;0.336026682064287
36;0.341827911973397
36.5;0.347619852833005
37;0.353401820614537
37.5;0.359173154633637
38;0.364933216821929
38.5;0.370681391026552
39;0.3764170823361
39.5;0.382139716431659
40;0.387848738961744
40.5;0.393543614939984
41;0.399223828164492
41.5;0.40488888065791
42;0.410538292127185
42.5;0.416171599442175
43;0.421788356132251
43.5;0.4273881319001
44;0.432970512151965
44.5;0.438535097543639
45;0.444081503541516
45.5;0.44960935999808
46;0.455118310741226
46.5;0.460608013176848
47;0.466078137904143
47.5;0.471528368343138
48;0.476958400373933
48.5;0.482367941987212
49;0.487756712945578
49.5;0.493124444455298
50;0.498470878848052
50.5;0.503795769272322
51;0.509098879394044
51.5;0.514379983106195
52;0.519638864246981
52.5;0.524875316326308
53;0.530089142260247
53.5;0.535280154113206
54;0.540448172847533
54.5;0.545593028080292
55;0.550714557846968
55.5;0.555812608371853
56;0.560887033844896
56.5;0.565937696204789
57;0.570964464928092
57.5;0.575967216824179
58;0.580945835835835
58.5;0.585900212845302
59;0.590830245485603
59.5;0.59573583795698
60;0.600616900848272
60.5;0.605473350963087
61;0.610305111150613
61.5;0.615112110140922
62;0.619894282384628
62.5;0.624651567896773
63;0.629383912104801
63.5;0.634091265700498
64;0.638773584495795
64.5;0.643430829282292
65;0.64806296569441
65.5;0.652669964076069
66;0.65725179935077
66.5;0.661808450894995
67;0.666339902414831
67.5;0.67084614182572
68;0.675327161135241
68.5;0.679782956328851
69;0.684213527258494
69.5;0.688618877533993
70;0.692999014417161
70.5;0.697353948718541
71;0.701683694696712
71.5;0.70598826996009
72;0.71026769537115
72.5;0.71452199495301
73;0.718751195798314
73.5;0.722955327980345
74;0.727134424466312
74.5;0.731288521032764
75;0.735417656183051
75.5;0.739521871066805
76;0.743601209401374
76.5;0.74765571739515
77;0.751685443672767
77.5;0.755690439202093
78;0.759670757222995
78.5;0.763626453177809
79;0.767557584643487
79.5;0.77146421126538
80;0.775346394692597
80.5;0.779204198514926
81;0.783037688201256
81.5;0.786846931039481
82;0.790631996077829
82.5;0.794392954067604
83;0.798129877407285
83.5;0.801842840087966
84;0.805531917640088
84.5;0.809197187081447
85;0.812838726866438
85.5;0.816456616836505
86;0.820050938171775
86.5;0.823621773343837
87;0.82716920606965
87.5;0.830693321266544
88;0.834194205008293
88.5;0.837671944482235
89;0.841126627947407
89.5;0.844558344693685
90;0.84796718500189
90.5;0.851353240104849
91;0.854716602149379
91.5;0.858057364159188
92;0.861375619998649
92.5;0.864671464337448
93;0.867944992616073
93.5;0.871196301012134
94;0.874425486407481
94.5;0.877632646356121
95;0.880817879052895
95.5;0.883981283302916
96;0.88712295849174
96.5;0.890243004556249
97;0.893341521956254
97.5;0.896418611646763
98;0.899474375050939
98.5;0.902508914033701
99;0.905522330875977
99.5;0.908514728249573
100;0.911486209192668
100.5;0.914436877085893
101;0.917366835629014
101.5;0.92027618881817
102;0.923165040923683
102.5;0.926033496468413
103;0.928881660206647
103.5;0.931709637103511
104;0.934517532314899
104.5;0.937305451167898
105;0.940073499141702
105.5;0.942821781849013
106;0.945550405017902
106.5;0.948259474474131
107;0.950949096123924
107.5;0.953619375937176
108;0.956270419931093
108.5;0.958902334154244
109;0.961515224671034
109.5;0.964109197546568
110;0.966684358831915
110.5;0.96924081454975
111;0.97177867068038
111.5;0.974298033148126
112;0.976799007808075
112.5;0.979281700433174
113;0.981746216701679
113.5;0.984192662184932
114;0.986621142335467
114.5;0.989031762475445
115;0.991424627785399
115.5;0.993799843293284
116;0.996157513863839
116.5;0.99849774418823
117;1.000820638774
117.5;1.00312630193527
118;1.00541483778328
118.5;1.00768635021708
119;1.00994094291466
