dist;gamma
0;0
0.5;0.0128961807474007
1;0.0240427849915289
1.5;0.035061685907677
2;0.0459543465548753
2.5;0.0567222132303187
3;0.0673667156614079
3.5;0.0778892671955818
4;0.0882912649879777
4.5;0.0985740901869425
5;0.108739108117417
5.5;0.118787668462222
6;0.128721105441262
6.5;0.138540737988681
7;0.148247869927989
7.5;0.157843790145178
8;0.167329772759853
8.5;0.176707077294413
9;0.185976948841284
9.5;0.195140618228237
10;0.204199302181816
10.5;0.213154203488892
11;0.222006511156362
11.5;0.230757400569028
12;0.239408033645657
12.5;0.247959558993257
13;0.256413112059589
13.5;0.264769815283927
14;0.27303077824609
14.5;0.281197097813774
15;0.289269858288187
15.5;0.297250131548019
16;0.305138977191769
16.5;0.312937442678427
17;0.320646563466559
17.5;0.328267363151789
18;0.335800853602714
18.5;0.343248035095251
19;0.350609896445451
19.5;0.357887415140799
20;0.365081557469994
20.5;0.372193278651252
21;0.379223522959139
21.5;0.38617322384995
22;0.393043304085646
22.5;0.399834675856381
23;0.406548240901618
23.5;0.413184890629857
24;0.419745506236997
24.5;0.42623095882334
25;0.432642109509249
25.5;0.438979809549487
26;0.445244900446245
26.5;0.451438214060875
27;0.457560572724338
27.5;0.463612789346397
28;0.469595667523549
28.5;0.475510001645723
29;0.481356577001762
29.5;0.487136169883686
30;0.49284954768977
30.5;0.498497469026434
31;0.504080683808971
31.5;0.509599933361117
32;0.515055950513482
32.5;0.520449459700856
33;0.525781177058392
33.5;0.531051810516698
34;0.536262059895832
34.5;0.54141261699822
35;0.546504165700515
35.5;0.551537382044396
36;0.556512934326338
36.5;0.561431483186338
37;0.566293681695641
37.5;0.571100175443444
38;0.575851602622627
38.5;0.580548594114478
39;0.585191773572471
39.5;0.589781757505063
40;0.594319155357561
40.5;0.598804569593037
41;0.603238595772321
41.5;0.607621822633082
42;0.611954832167998
42.5;0.616238199702026
43;0.620472493968799
43.5;0.624658277186139
44;0.628796105130702
44.5;0.632886527211779
45;0.636930086544242
45.5;0.640927320020658
46;0.644878758382573
46.5;0.648784926290987
47;0.652646342396016
47.5;0.656463519405754
48;0.660236964154352
48.5;0.663967177669312
49;0.667654655238015
49.5;0.671299886473479
50;0.674903355379374
50.5;0.678465540414282
51;0.681986914555229
51.5;0.685467945360483
52;0.688909095031636
52.5;0.692310820474974
53;0.695673573362144
53.5;0.698997800190126
54;0.702283942340514
54.5;0.705532436138129
55;0.708743712908944
55.5;0.711918199037361
56;0.715056316022822
