dist;gamma
0;0
0.5;0.00488233125653655
1;0.00976461128677069
1.5;0.0146467888644
2;0.0195288127631221
2.5;0.0244106317566346
3;0.029292194618635
3.5;0.034173450122821
4;0.0390543470428901
4.5;0.04393483415254
5;0.0488148602254682
5.5;0.0536943740353723
6;0.05857332435595
6.5;0.0634516599608987
7;0.0683293296239162
7.5;0.0732062821186999
8;0.0780824662189475
8.5;0.0829578306983566
9;0.0878323243306248
9.5;0.0927058958894496
10;0.0975784941485287
10.5;0.10245006788156
11;0.10732056586224
11.5;0.112189936864267
12;0.117058129661339
12.5;0.121925093027154
13;0.126790775735408
13.5;0.131655126559799
14;0.136518094274026
14.5;0.141379627651785
15;0.146239675466774
15.5;0.151098186492691
16;0.155955109503233
16.5;0.160810393272098
17;0.165663986572984
17.5;0.170515838179588
18;0.175365896865608
18.5;0.180214111404741
19;0.185060430570685
19.5;0.189904803137137
20;0.194747177877796
20.5;0.199587503566358
21;0.204425728976522
21.5;0.209261802881984
22;0.214095674056443
22.5;0.218927291273596
23;0.22375660330714
23.5;0.228583558930774
24;0.233408106918195
24.5;0.2382301960431
25;0.243049775079187
25.5;0.247866792800154
26;0.252681197979698
26.5;0.257492939391517
27;0.262301965809308
27.5;0.267108226006769
28;0.271911668757598
28.5;0.276712242835492
29;0.281509897014148
29.5;0.286304580067265
30;0.29109624076854
30.5;0.295884827891671
31;0.300670290210354
31.5;0.305452576498288
32;0.310231635529171
32.5;0.3150074160767
33;0.319779866914572
33.5;0.324548936816485
34;0.329314574556137
34.5;0.334076728907225
35;0.338835348643447
35.5;0.3435903825385
36;0.348341779366083
36.5;0.353089487899892
37;0.357833456913625
37.5;0.36257363518098
38;0.367309971475655
38.5;0.372042414571347
39;0.376770913241753
39.5;0.381495416260571
40;0.3862158724015
40.5;0.390932230438235
41;0.395644439144476
41.5;0.400352447293919
42;0.405056203660262
42.5;0.409755657017204
43;0.41445075613844
43.5;0.419141449797669
44;0.423827686768589
44.5;0.428509415824897
45;0.433186585740291
45.5;0.437859145288468
46;0.442527043243126
46.5;0.447190228377963
47;0.451848649466675
47.5;0.456502255282961
48;0.461150994600519
48.5;0.465794816193045
49;0.470433668834238
49.5;0.475067501297795
50;0.479696262357413
50.5;0.484319900786791
51;0.488938365359626
51.5;0.493551604849615
52;0.498159568030455
52.5;0.502762203675846
53;0.507359460559484
53.5;0.511951287455066
54;0.516537633136291
54.5;0.521118446376856
55;0.525693675950459
55.5;0.530263270630796
56;0.534827179191567
56.5;0.539385350406467
57;0.543937733049196
57.5;0.54848427589345
58;0.553024927712927
58.5;0.557559637281325
59;0.562088353372342
59.5;0.566611024759674
60;0.571127600217019
60.5;0.575638028518076
61;0.580142258436541
61.5;0.584640238746113
62;0.589131918220488
62.5;0.593617245633365
63;0.598096169758442
63.5;0.602568639369414
64;0.607034603239981
64.5;0.61149401014384
65;0.615946808854688
65.5;0.620392948146223
66;0.624832376792142
66.5;0.629265043566144
67;0.633690897241926
67.5;0.638109886593185
68;0.642521960393619
68.5;0.646927067416925
69;0.651325156436802
69.5;0.655716176226946
70;0.660100075561056
70.5;0.664476803212829
71;0.668846307955962
71.5;0.673208538564153
72;0.6775634438111
72.5;0.6819109724705
73;0.686251073316052
73.5;0.690583695121451
74;0.694908786660397
74.5;0.699226296706586
75;0.703536174033717
75.5;0.707838367415486
76;0.712132825625592
76.5;0.716419497437732
77;0.720698331625604
77.5;0.724969276962905
78;0.729232282223332
78.5;0.733487296180584
79;0.737734267608358
79.5;0.741973145280352
80;0.746203877970262
80.5;0.750426414451788
81;0.754640703498626
81.5;0.758846693884474
82;0.763044334383029
82.5;0.767233573767989
83;0.771414360813053
83.5;0.775586644291916
84;0.779750372978278
84.5;0.783905495645835
85;0.788051961068285
85.5;0.792189718019325
86;0.796318715272655
86.5;0.80043890160197
87;0.804550225780968
87.5;0.808652636583348
88;0.812746082782806
88.5;0.81683051315304
89;0.820905876467748
89.5;0.824972121500628
90;0.829029197025377
90.5;0.833077051815692
91;0.837115634645271
91.5;0.841144894287813
92;0.845164779517013
92.5;0.849175239106571
93;0.853176221830183
93.5;0.857167676461548
94;0.861149551774362
94.5;0.865121796542323
95;0.86908435953913
95.5;0.873037189538479
96;0.876980235314068
96.5;0.880913445639595
97;0.884836769288757
97.5;0.888750155035252
98;0.892653551652778
98.5;0.896546907915032
99;0.900430172595711
99.5;0.904303294468513
100;0.908166222307137
100.5;0.912018904885279
101;0.915861290976637
101.5;0.919693329354909
102;0.923514968793792
102.5;0.927326158066983
103;0.931126845948182
103.5;0.934916981211084
104;0.938696512629388
104.5;0.942465388976791
105;0.94622355902699
105.5;0.949970971553685
106;0.953707575330571
106.5;0.957433319131347
107;0.961148151729709
107.5;0.964852021899357
108;0.968544878413987
108.5;0.972226670047297
109;0.975897345572984
109.5;0.979556853764747
110;0.983205143396282
110.5;0.986842163241288
111;0.990467862073462
111.5;0.994082188666501
112;0.997685091794103
112.5;1.00127652022997
113;1.00485642274779
113.5;1.00842474812126
114;1.01198144512409
114.5;1.01552646252997
115;1.01905974911261
115.5;1.02258125364568
116;1.0260909249029
116.5;1.02958871165796
117;1.03307456268456
117.5;1.0365484267564
118;1.04001025264717
118.5;1.04345998913057
119;1.04689758498031
119.5;1.05032298897007
120;1.05373614987355
120.5;1.05713701646446
121;1.06052553751648
121.5;1.06390166180333
122;1.06726533809868
122.5;1.07061651517626
123;1.07395514180974
123.5;1.07728116677282
124;1.08059453883922
124.5;1.08389520678262
125;1.08718311937671
125.5;1.09045822539521
126;1.0937204736118
126.5;1.09696981280018
127;1.10020619173406
127.5;1.10342955918712
128;1.10663986393307
128.5;1.1098370547456
129;1.11302108039842
129.5;1.11619188966521
130;1.11934943131968
130.5;1.12249365413553
131;1.12562450688644
131.5;1.12874193834612
132;1.13184589728828
132.5;1.13493633248659
133;1.13801319271477
133.5;1.14107642674651
134;1.1441259833555
134.5;1.14716181131545
135;1.15018385940005
135.5;1.153192076383
136;1.156186411038
136.5;1.15916681213874
137;1.16213322845893
137.5;1.16508560877226
138;1.16802390185242
138.5;1.17094805647312
139;1.17385802140806
139.5;1.17675374543092
140;1.17963517731541
140.5;1.18250226583523
141;1.18535495976407
141.5;1.18819320787563
142;1.19101695894362
142.5;1.19382616174171
143;1.19662076504362
143.5;1.19940071762305
144;1.20216596825368
144.5;1.20491646570922
145;1.20765215876336
145.5;1.2103729961898
146;1.21307892676225
146.5;1.21576989925439
147;1.21844586243992
147.5;1.22110676509255
148;1.22375255598597
148.5;1.22638318389387
149;1.22899859758996
149.5;1.23159874584793
150;1.23418357744148
150.5;1.23675304114431
151;1.23930708573012
151.5;1.24184565997259
152;1.24436871264544
152.5;1.24687619252236
153;1.24936804837704
153.5;1.25184422898318
154;1.25430468311449
154.5;1.25674935954465
155;1.25917820704737
155.5;1.26159117439635
156;1.26398821036527
156.5;1.26636926372785
157;1.26873428325777
157.5;1.27108321772873
158;1.27341601591444
158.5;1.27573262658858
159;1.27803299852486
159.5;1.28031708049698
160;1.28258482127863
160.5;1.28483616964351
161;1.28707107436531
161.5;1.28928948421774
162;1.29149134797449
162.5;1.29367661440926
163;1.29584523229575
163.5;1.29799715040766
164;1.30013231751867
164.5;1.3022506824025
165;1.30435219383284
165.5;1.30643680058338
166;1.30850445142782
166.5;1.31055509513987
167;1.31258868049321
167.5;1.31460515626155
168;1.31660447121858
168.5;1.318586574138
169;1.32055141379351
169.5;1.32249893895881
170;1.32442909840759
170.5;1.32634184091355
171;1.3282371152504
171.5;1.33011487019181
172;1.33197505451151
172.5;1.33381761698317
173;1.3356425063805
173.5;1.33744967147721
174;1.33923906104697
174.5;1.3410106238635
175;1.34276430870048
175.5;1.34450006433163
176;1.34621783953063
176.5;1.34791758307118
177;1.34959924372698
177.5;1.35126277027173
178;1.35290811147912
178.5;1.35453521612286
179;1.35614403297664
179.5;1.35773451081416
180;1.35930659840911
180.5;1.36086024453519
181;1.36239539796611
181.5;1.36391200747555
182;1.36541002183722
182.5;1.36688938982482
183;1.36835006021203
183.5;1.36979198177257
184;1.37121510328012
184.5;1.37261937350838
185;1.37400474123105
185.5;1.37537115522184
186;1.37671856425443
186.5;1.37804691710253
187;1.37935616253982
187.5;1.38064624934002
188;1.38191712627682
188.5;1.38316874212391
189;1.38440104565499
189.5;1.38561398564376
190;1.38680751086392
190.5;1.38798157008916
191;1.38913611209319
191.5;1.39027108564969
192;1.39138643953238
192.5;1.39248212251494
193;1.39355808337107
193.5;1.39461427087448
194;1.39565063379885
194.5;1.39666712091789
195;1.39766368100529
195.5;1.39864026283475
196;1.39959681517997
196.5;1.40053328681465
197;1.40144962651248
197.5;1.40234578304716
198;1.40322170519239
198.5;1.40407734172187
199;1.40491264140929
199.5;1.40572755302836
200;1.40652202535276
200.5;1.4072960071562
201;1.40804944721237
201.5;1.40878229429498
202;1.40949449717772
202.5;1.41018600463428
203;1.41085676543837
203.5;1.41150672836368
204;1.41213584218391
204.5;1.41274405567276
205;1.41333131760392
205.5;1.4138975767511
206;1.41444278188798
206.5;1.41496688178828
207;1.41546982522568
207.5;1.41595156097388
208;1.41641203780659
208.5;1.41685120449749
209;1.41726900982029
209.5;1.41766540254868
210;1.41804033145637
210.5;1.41839374531704
211;1.4187255929044
211.5;1.41903582299214
212;1.41932438435397
212.5;1.41959122576357
213;1.41983629599465
213.5;1.42005954382091
214;1.42026091801603
214.5;1.42044036735373
215;1.42059784060769
215.5;1.42073328655162
216;1.42084665395921
216.5;1.42093789160416
217;1.42100694826017
217.5;1.42105377270093
218;1.42107831370015
218.5;1.42108232095489
219;1.42108232095489
219.5;1.42108232095489
220;1.42108232095489
220.5;1.42108232095489
221;1.42108232095489
221.5;1.42108232095489
222;1.42108232095489
222.5;1.42108232095489
223;1.42108232095489
223.5;1.42108232095489
224;1.42108232095489
224.5;1.42108232095489
225;1.42108232095489
225.5;1.42108232095489
226;1.42108232095489
226.5;1.42108232095489
227;1.42108232095489
227.5;1.42108232095489
228;1.42108232095489
228.5;1.42108232095489
229;1.42108232095489
229.5;1.42108232095489
230;1.42108232095489
230.5;1.42108232095489
231;1.42108232095489
231.5;1.42108232095489
232;1.42108232095489
232.5;1.42108232095489
233;1.42108232095489
233.5;1.42108232095489
234;1.42108232095489
234.5;1.42108232095489
235;1.42108232095489
235.5;1.42108232095489
236;1.42108232095489
236.5;1.42108232095489
237;1.42108232095489
237.5;1.42108232095489
238;1.42108232095489
238.5;1.42108232095489
239;1.42108232095489
239.5;1.42108232095489
240;1.42108232095489
240.5;1.42108232095489
241;1.42108232095489
241.5;1.42108232095489
242;1.42108232095489
242.5;1.42108232095489
243;1.42108232095489
243.5;1.42108232095489
244;1.42108232095489
244.5;1.42108232095489
245;1.42108232095489
245.5;1.42108232095489
246;1.42108232095489
246.5;1.42108232095489
247;1.42108232095489
247.5;1.42108232095489
248;1.42108232095489
248.5;1.42108232095489
249;1.42108232095489
249.5;1.42108232095489
