dist;gamma
0;0
0.5;0.00492070524788017
1;0.00981459275779183
1.5;0.0146818086858312
2;0.0195224983915469
2.5;0.0243368064422811
3;0.0291248766174873
3.5;0.0338868519130237
4;0.0386228745454244
4.5;0.0433330859561463
5;0.0480176268157936
5.5;0.0526766370283184
6;0.0573102557351997
6.5;0.0619186213195979
7;0.0665018714104887
7.5;0.0710601428867723
8;0.0755935718813622
8.5;0.0801022937852504
9;0.0845864432515509
9.5;0.0890461541995209
10;0.0934815598185607
10.5;0.0978927925721913
11;0.10227998420201
11.5;0.106643265731626
12;0.110982767470572
12.5;0.115298619018196
13;0.119590949267534
13.5;0.123859886409156
14;0.128105557934997
14.5;0.132328090642163
15;0.136527610636721
15.5;0.140704243337459
16;0.144858113479637
16.5;0.148989345118711
17;0.153098061634037
17.5;0.157184385732557
18;0.16124843945246
18.5;0.165290344166832
19;0.169310220587278
19.5;0.173308188767527
20;0.177284368107018
20.5;0.181238877354465
21;0.185171834611404
21.5;0.189083357335722
22;0.192973562345161
22.5;0.196842565820809
23;0.20069048331057
23.5;0.204517429732615
24;0.208323519378812
24.5;0.212108865918143
25;0.215873582400094
25.5;0.219617781258036
26;0.223341574312578
26.5;0.227045072774911
27;0.230728387250127
27.5;0.234391627740523
28;0.238034903648884
28.5;0.241658323781755
29;0.245261996352686
29.5;0.248846028985464
30;0.252410528717332
30.5;0.255955602002181
31;0.259481354713729
31.5;0.262987892148685
32;0.266475319029896
32.5;0.269943739509469
33;0.273393257171884
33.5;0.27682397503709
34;0.280235995563577
34.5;0.283629420651441
35;0.287004351645422
35.5;0.290360889337935
36;0.293699133972078
36.5;0.297019185244628
37;0.300321142309013
37.5;0.30360510377828
38;0.306871167728036
38.5;0.310119431699379
39;0.313349992701807
39.5;0.316562947216123
40;0.319758391197308
40.5;0.322936420077392
41;0.326097128768302
41.5;0.329240611664697
42;0.332366962646788
42.5;0.335476275083139
43;0.33856864183346
43.5;0.341644155251375
44;0.344702907187184
44.5;0.347744988990606
45;0.350770491513502
45.5;0.353779505112597
46;0.356772119652171
46.5;0.359748424506747
47;0.362708508563758
47.5;0.365652460226201
48;0.368580367415282
48.5;0.371492317573036
49;0.37438839766494
49.5;0.377268694182514
50;0.380133293145897
50.5;0.382982280106425
51;0.385815740149177
51.5;0.388633757895521
52;0.391436417505642
52.5;0.394223802681052
53;0.396995996667093
53.5;0.39975308225542
54;0.402495141786477
54.5;0.405222257151954
55;0.407934509797231
55.5;0.410631980723815
56;0.413314750491756
56.5;0.415982899222053
57;0.418636506599046
57.5;0.421275651872799
58;0.423900413861465
58.5;0.426510870953638
59;0.429107101110697
59.5;0.431689181869134
60;0.434257190342866
60.5;0.436811203225543
61;0.439351296792837
61.5;0.441877546904717
62;0.444390029007719
62.5;0.446888818137193
63;0.449373988919554
63.5;0.4518456155745
64;0.454303771917235
64.5;0.45674853136067
65;0.459179966917621
65.5;0.461598151202981
66;0.464003156435898
66.5;0.466395054441923
67;0.468773916655161
67.5;0.471139814120405
68;0.473492817495251
68.5;0.475832997052217
69;0.478160422680833
69.5;0.480475163889736
70;0.482777289808741
70.5;0.485066869190907
71;0.48734397041459
71.5;0.489608661485487
72;0.491861010038663
72.5;0.494101083340575
73;0.496328948291079
73.5;0.498544671425429
74;0.500748318916261
74.5;0.502939956575574
75;0.505119649856691
75.5;0.507287463856217
76;0.509443463315982
76.5;0.511587712624974
77;0.513720275821263
77.5;0.515841216593911
78;0.517950598284879
78.5;0.520048483890912
79;0.522134936065428
79.5;0.524210017120383
80;0.526273789028133
80.5;0.528326313423289
81;0.530367651604554
81.5;0.532397864536551
82;0.534417012851651
82.5;0.536425156851779
83;0.538422356510215
83.5;0.540408671473386
84;0.542384161062648
84.5;0.544348884276057
85;0.546302899790128
85.5;0.548246265961595
86;0.550179040829145
86.5;0.552101282115158
87;0.554013047227427
87.5;0.555914393260874
88;0.557805376999254
88.5;0.559686054916854
89;0.561556483180175
89.5;0.563416717649614
90;0.565266813881127
90.5;0.567106827127895
91;0.568936812341967
91.5;0.570756824175907
92;0.572566916984422
92.5;0.574367144825987
93;0.576157561464461
93.5;0.577938220370691
94;0.579709174724106
94.5;0.581470477414313
95;0.583222181042668
95.5;0.584964337923851
96;0.586697000087431
96.5;0.588420219279415
97;0.590134046963794
97.5;0.591838534324084
98;0.593533732264851
98.5;0.595219691413231
99;0.596896462120445
99.5;0.5985640944633
100;0.600222638245685
100.5;0.60187214300006
101;0.603512657988933
101.5;0.605144232206334
102;0.606766914379274
102.5;0.608380752969207
103;0.609985796173468
103.5;0.611582091926721
104;0.613169687902387
104.5;0.614748631514066
105;0.616318969916957
105.5;0.617880750009262
106;0.619434018433591
106.5;0.620978821578351
107;0.622515205579134
