dist;gamma
0;0
0.5;0.0134775378551401
1;0.026765081471371
1.5;0.0398653092170414
2;0.0527808617032672
2.5;0.0655143423161962
3;0.0780683177417739
3.5;0.0904453184831103
4;0.102647839370551
4.5;0.114678340064563
5;0.126539245551526
5.5;0.138232946632537
6;0.149761800405322
6.5;0.161128130739361
7;0.172334228744304
7.5;0.183382353231793
8;0.19427473117077
8.5;0.205013558136367
9;0.215600998752466
9.5;0.226039187128024
10;0.236330227287244
10.5;0.246476193593685
11;0.256479131168386
11.5;0.266341056302106
12;0.276063956861746
12.5;0.285649792691041
13;0.29510049600561
13.5;0.304417971782425
14;0.313604098143806
14.5;0.322660726735987
15;0.331589683102353
15.5;0.340392767051419
16;0.349071753019613
16.5;0.357628390428949
17;0.366064404039659
17.5;0.374381494297852
18;0.382581337678276
18.5;0.390665587022238
19;0.398635871870773
19.5;0.406493798793108
20;0.414240951710497
20.5;0.421878892215495
21;0.429409159886726
21.5;0.436833272599212
22;0.444152726830339
22.5;0.451368997961494
23;0.458483540575463
23.5;0.465497788749627
24;0.472413156345032
24.5;0.479231037291377
25;0.485952805867993
25.5;0.492579816980852
26;0.499113406435679
26.5;0.505554891207204
27;0.511905569704634
27.5;0.518166722033364
28;0.524339610253013
28.5;0.530425478631815
29;0.536425553897426
29.5;0.542341045484198
30;0.54817314577696
30.5;0.553923030351371
31;0.559591858210878
31.5;0.565180772020337
32;0.570690898336341
32.5;0.576123347834297
33;0.581479215532308
33.5;0.586759581011893
34;0.5919655086356
34.5;0.597098047761547
35;0.602158232954945
35.5;0.60714708419663
36;0.612065607088665
36.5;0.616914793057037
37;0.621695619551498
37.5;0.626409050242591
38;0.631056035215896
38.5;0.635637511163538
39;0.640154401572996
39.5;0.644607616913254
40;0.648998054818318
40.5;0.653326600268157
41;0.657594125767085
41.5;0.661801491519632
42;0.665949545603938
42.5;0.670039124142698
43;0.674071051471698
43.5;0.678046140305978
44;0.681965191903652
44.5;0.685828996227413
45;0.689638332103771
45.5;0.693393967380038
46;0.697096659079102
46.5;0.700747153552022
47;0.704346186628471
47.5;0.707894483765053
48;0.711392760191537
48.5;0.714841721055024
49;0.718242061562083
49.5;0.721594467118885
50;0.72489961346936
50.5;0.728158166831405
51;0.731370784031176
51.5;0.734538112635483
52;0.737660791082319
52.5;0.740739448809552
53;0.743774706381798
53.5;0.746767175615512
54;0.749717459702307
54.5;0.752626153330543
55;0.755493842805198
55.5;0.758321106166046
56;0.761108513304176
56.5;0.763856626076864
57;0.766565998420826
57.5;0.769237176463874
58;0.771870698635002
