dist;gamma
0;0
0.5;0.191848378473655
1;0.194021447630412
1.5;0.197582984952014
2;0.202464051615899
2.5;0.208585883624109
3;0.215863901407304
3.5;0.224210476245688
4;0.233536924561124
4.5;0.243754976785909
5;0.254777868582006
5.5;0.266521150792905
6;0.278903284797234
6.5;0.291846071387877
7;0.305274949039048
7.5;0.319119188945794
8;0.33331200814535
8.5;0.347790617549148
9;0.362496218330545
9.5;0.377373957507483
10;0.392372851519613
10.5;0.407445684981116
11;0.422548890491644
11.5;0.437642414335564
12;0.452689572040229
12.5;0.467656897057341
13;0.482513985247261
13.5;0.497233337360836
14;0.511790201308865
14.5;0.526162415671137
15;0.540330255613703
15.5;0.554276282145409
16;0.567985195445138
16.5;0.581443692823698
17;0.594640331743662
17.5;0.60756539820263
18;0.620210780686781
18.5;0.632569849819372
19;0.644637343760485
19.5;0.656409259357811
20;0.667882749001855
20.5;0.679056023101025
21;0.689928258061575
21.5;0.700499509633004
22;0.710770631460493
22.5;0.720743198671431
23;0.730419436312342
23.5;0.739802152445047
24;0.748894675706118
24.5;0.757700797131189
25;0.766224716045117
25.5;0.774470989820012
26;0.782444487305458
26.5;0.790150345738685
27;0.797593930946673
27.5;0.804780800657176
28;0.811716670741117
28.5;0.818407384214749
29;0.824858882836146
29.5;0.831077181137067
30;0.837068342737711
30.5;0.842838458798558
31;0.848393628470039
31.5;0.853739941207383
32;0.858883460824455
32.5;0.863830211166756
33;0.868586163290003
33.5;0.873157224036755
34;0.877549225909421
34.5;0.881767918143705
35;0.885818958892021
35.5;0.889707908431675
36;0.893440223317721
36.5;0.897021251405232
37;0.900456227670369
37.5;0.903750270764092
38;0.906908380236556
38.5;0.909935434374266
39;0.912836188595894
39.5;0.915615274356258
40;0.918277198511416
40.5;0.920826343101075
41;0.923266965507563
41.5;0.92560319895354
42;0.927839053303319
42.5;0.929978416135278
43;0.932025054055226
43.5;0.933982614222903
44;0.935854626065892
44.5;0.937644503157243
45;0.939355545234997
45.5;0.940990940343534
46;0.942553767078337
46.5;0.94404699691728
47;0.945473496623003
47.5;0.946836030702272
48;0.948137263909448
48.5;0.9493797637824
49;0.950566003200218
49.5;0.951698362953138
50;0.952779134315995
50.5;0.953810521617391
51;0.954794644797575
51.5;0.955733541948762
52;0.956629171832312
52.5;0.957483416367818
53;0.958298083089743
53.5;0.959074907567776
54;0.959815555787577
54.5;0.960521626489031
55;0.961194653459566
55.5;0.961836107780431
56;0.962447400024242
56.5;0.963029882402349
57;0.963584850860947
57.5;0.964113547125043
58;0.964617160689689
58.5;0.965096830758077
59;0.9655536481263
59.5;0.965988657014761
60;0.966402856846354
60.5;0.966797203971716
61;0.967172613341943
61.5;0.967529960129291
62;0.967870081296491
62.5;0.968193777115367
63;0.968501812635557
63.5;0.968794919104176
64;0.969073795337331
64.5;0.969339109044441
65;0.969591498106354
65.5;0.969831571808304
66;0.97005991202874
66.5;0.970277074385123
67;0.970483589337774
67.5;0.970679963252882
68;0.970866679425771
68.5;0.971044199065552
69;0.971212962242257
69.5;0.971373388797573
70;0.971525879220264
70.5;0.971670815487383
71;0.971808561872338
71.5;0.971939465720896
72;0.972063858196141
72.5;0.972182054993458
73;0.972294357026519
73.5;0.972401051085285
74;0.972502410466993
74.5;0.972598695581077
75;0.972690154528955
75.5;0.972777023659584
76;0.97285952810168
76.5;0.972937882273451
77;0.973012290370688
77.5;0.973082946834038
78;0.973150036796225
78.5;0.973213736510027
79;0.973274213757714
79.5;0.973331628242699
80;0.973386131964095
80.5;0.973437869574845
81;0.973486978724097
81.5;0.973533590384444
82;0.97357782916466
82.5;0.973619813608497
83;0.973659656480145
83.5;0.973697465036881
84;0.973733341289454
84.5;0.973767382250712
85;0.973799680172968
85.5;0.973830322774578
86;0.973859393456192
86.5;0.97388697150711
87;0.973913132302186
87.5;0.973937947489667
88;0.973961485170367
88.5;0.973983810068558
89;0.974004983694931
