dist;gamma
0;0
0.5;0.0248903536422752
1;0.0347456391046357
1.5;0.0436170860324762
2;0.0519044738114007
2.5;0.0597829655605799
3;0.0673502036288382
3.5;0.0746680261300677
4;0.0817788849670935
4.5;0.0887136012637278
5;0.0954954945972421
5.5;0.102142777714325
6;0.10867003778612
6.5;0.115089200089108
7;0.121410181004379
7.5;0.127641345590055
8;0.133789837366927
8.5;0.139861821770609
9;0.145862669624177
9.5;0.151797097920877
10;0.157669279574232
10.5;0.163482930185411
11;0.16924137750552
11.5;0.174947617673321
12;0.180604361211464
12.5;0.186214070994825
13;0.191778993856992
13.5;0.197301187104337
14;0.202782540915995
14.5;0.208224797392352
15;0.213629566851429
15.5;0.218998341849304
16;0.224332509305478
16.5;0.229633361040313
17;0.23490210297452
17.5;0.240139863194834
18;0.245347699053519
18.5;0.250526603441926
19;0.255677510352919
19.5;0.260801299830095
20;0.2658988023849
20.5;0.270970802950959
21;0.276018044434104
21.5;0.281041230908021
22;0.286041030498432
22.5;0.291018077992461
23;0.295972977204785
23.5;0.30090630312838
24;0.305818603893085
24.5;0.310710402553336
25;0.315582198722988
25.5;0.320434470072584
26;0.325267673704173
26.5;0.330082247414682
27;0.334878610859751
27.5;0.339657166626947
28;0.344418301227183
28.5;0.349162386012056
29;0.353889778023461
29.5;0.358600820781922
30;0.363295845018844
30.5;0.367975169357633
31;0.372639100947894
31.5;0.377287936056744
32;0.381921960620834
32.5;0.386541450762122
33;0.39114667327043
33.5;0.395737886055228
34;0.400315338569273
34.5;0.404879272205961
35;0.409429920672665
35.5;0.413967510341608
36;0.41849226058005
36.5;0.423004384061264
37;0.427504087057491
37.5;0.431991569716504
38;0.436467026322627
38.5;0.440930645543164
39;0.445382610661751
39.5;0.449823099798796
40;0.45425228612051
40.5;0.458670338036715
41;0.463077419388648
41.5;0.467473689627027
42;0.471859303981107
42.5;0.476234413619277
43;0.480599165801918
43.5;0.484953704026518
44;0.489298168165973
44.5;0.493632694600278
45;0.497957416341917
45.5;0.502272463155657
46;0.506577961672291
46.5;0.510874035497932
47;0.515160805317685
47.5;0.519438388995156
48;0.523706901667314
48.5;0.527966455835299
49;0.532217161451361
49.5;0.536459126001906
50;0.540692454587213
50.5;0.544917249997649
51;0.549133612786881
51.5;0.553341641341838
52;0.557541431950127
52.5;0.561733078864478
53;0.565916674364647
53.5;0.570092308817072
54;0.574260070731901
54.5;0.57842004681811
55;0.582572322036127
55.5;0.58671697964884
56;0.590854101270341
56.5;0.594983766913151
57;0.599106055033427
57.5;0.603221042574593
58;0.607328805009535
58.5;0.611429416380954
59;0.615522949340619
59.5;0.619609475186943
60;0.623689063901408
60.5;0.627761784183589
61;0.631827703485095
61.5;0.635886888042312
62;0.639939402907794
62.5;0.643985311981128
63;0.648024678038011
63.5;0.65205756275918
64;0.656084026757712
64.5;0.660104129605747
65;0.664117929860358
65.5;0.668125485088508
66;0.672126851891098
66.5;0.676122085926568
67;0.680111241933425
67.5;0.684094373752144
68;0.688071534346618
68.5;0.6920427758246
69;0.696008149457793
69.5;0.699967705701158
70;0.703921494211727
70.5;0.707869563866877
71;0.711811962781946
71.5;0.715748738327381
72;0.719679937145466
72.5;0.723605605166433
73;0.727525787624223
73.5;0.731440529071654
74;0.735349873395345
74.5;0.739253863829988
75;0.743152542972498
75.5;0.747045952795397
76;0.750934134660273
76.5;0.754817129330438
77;0.758694976983571
77.5;0.762567717223745
78;0.766435389093433
78.5;0.770298031084894
79;0.774155681151374
79.5;0.778008376718071
80;0.781856154692806
80.5;0.785699051476184
81;0.78953710297189
81.5;0.793370344596333
82;0.797198811288267
82.5;0.801022537518155
83;0.804841557297103
83.5;0.808655904185906
84;0.812465611303507
84.5;0.816270711335452
85;0.820071236542178
85.5;0.8238672187669
86;0.827658689443411
86.5;0.831445679603822
87;0.835228219885835
87.5;0.839006340540154
88;0.842780071437325
88.5;0.846549442074936
89;0.850314481584073
89.5;0.854075218736141
90;0.857831681949108
90.5;0.861583899293945
91;0.865331898500612
91.5;0.869075706964076
92;0.872815351750323
92.5;0.876550859601875
93;0.880282256943485
93.5;0.884009569887555
94;0.887732824239544
94.5;0.891452045503135
95;0.895167258885372
95.5;0.898878489301571
96;0.902585761380371
96.5;0.906289099468311
97;0.909988527634683
97.5;0.913684069675978
98;0.917375749120444
98.5;0.921063589232343
99;0.924747613016473
99.5;0.928427843222011
100;0.932104302346993
100.5;0.935777012642007
101;0.939445996114439
101.5;0.943111274531999
102;0.946772869426738
102.5;0.95043080209868
103;0.954085093619377
103.5;0.957735764835566
104;0.961382836372527
104.5;0.965026328637577
105;0.968666261823369
105.5;0.972302655911158
106;0.975935530673997
106.5;0.979564905679953
107;0.983190800295053
107.5;0.986813233686391
108;0.990432224825132
108.5;0.994047792489336
109;0.997659955266749
109.5;1.00126873155773
110;1.00487413957796
