dist;gamma
0;0
0.5;0.045053230030723
1;0.0526814985009059
1.5;0.058228572621161
2;0.0627470590292587
2.5;0.0666280160597348
3;0.0700664671068374
3.5;0.0731758086667427
4;0.0760286455191932
4.5;0.0786746692350638
5;0.0811495988324051
5.5;0.0834800952636111
6;0.0856866619580225
6.5;0.0877854546652509
7;0.0897894624698716
7.5;0.0917093074215434
8;0.0935538029492192
8.5;0.0953303542277669
9;0.0970452518169842
9.5;0.0987038913230601
10;0.100310940600097
10.5;0.101870468995224
11;0.103386048636183
11.5;0.104860834794645
12;0.106297630362497
12.5;0.107698938107726
13;0.109067003418487
13.5;0.110403849563269
14;0.111711307004043
14.5;0.112991037940507
15;0.114244556997748
15.5;0.115473248770795
16;0.11667838278886
16.5;0.117861126347021
17;0.119022555564222
17.5;0.1201636649574
18;0.121285375767284
18.5;0.122388543228584
19;0.123473962943118
19.5;0.124542376487169
20;0.125594476362171
20.5;0.126630910380097
21;0.127652285560195
21.5;0.128659171601791
22;0.129652103988026
22.5;0.130631586767211
23;0.131598095051623
23.5;0.13255207726799
24;0.133493957189029
24.5;0.134424135771449
25;0.135342992822418
25.5;0.136250888513576
26;0.137148164759254
26.5;0.138035146473459
27;0.138912142718329
27.5;0.139779447755283
28;0.140637342008719
28.5;0.141486092950953
29;0.142325955916093
29.5;0.143157174849699
30;0.143979983000261
30.5;0.144794603557937
31;0.145601250245333
31.5;0.146400127864669
32;0.147191432805168
32.5;0.147975353514139
33;0.148752070934874
33.5;0.149521758914162
34;0.150284584581932
34.5;0.151040708705336
35;0.151790286019324
35.5;0.152533465535572
36;0.1532703908315
36.5;0.154001200320873
37;0.154726027507441
37.5;0.155445001222853
38;0.156158245850062
38.5;0.156865881533227
39;0.157568024375146
39.5;0.15826478662309
40;0.158956276843835
40.5;0.159642600088689
41;0.160323858049169
41.5;0.161000149203976
42;0.161671568957861
42.5;0.1623382097729
43;0.163000161292698
43.5;0.163657510459971
44;0.164310341627937
44.5;0.164958736665882
45;0.165602775059323
45.5;0.16624253400503
46;0.166878088501288
46.5;0.167509511433648
47;0.168136873656456
47.5;0.168760244070394
48;0.169379689696295
48.5;0.16999527574541
49;0.170607065686374
49.5;0.171215121309024
50;0.171819502785268
50.5;0.172420268727155
51;0.173017476242317
51.5;0.173611180986911
52;0.174201437216204
52.5;0.174788297832937
53;0.175371814433548
53.5;0.175952037352436
54;0.176529015704294
54.5;0.177102797424652
55;0.177673429308729
55.5;0.178240957048637
56;0.178805425269078
56.5;0.179366877561553
57;0.179925356517194
57.5;0.180480903758273
58;0.181033559968461
58.5;0.181583364921876
59;0.182130357510993
59.5;0.18267457577349
60;0.183216056918029
60.5;0.183754837349077
61;0.184290952690762
61.5;0.184824437809854
62;0.185355326837876
62.5;0.185883653192394
63;0.186409449597533
63.5;0.186932748103749
64;0.187453580106876
64.5;0.187971976366491
65;0.188487967023635
65.5;0.189001581617902
66;0.189512849103929
66.5;0.190021797867312
67;0.19052845573998
67.5;0.191032850015031
68;0.191535007461069
68.5;0.192034954336063
69;0.192532716400732
69.5;0.193028318931494
70;0.193521786732973
70.5;0.194013144150116
71;0.194502415079895
71.5;0.194989622982649
72;0.195474790893043
72.5;0.195957941430708
73;0.196439096810495
73.5;0.196918278852461
74;0.197395508991509
74.5;0.197870808286734
75;0.198344197430484
75.5;0.198815696757163
76;0.199285326251718
76.5;0.199753105557923
77;0.200219053986386
77.5;0.200683190522317
78;0.201145533833071
78.5;0.201606102275475
79;0.202064913902936
79.5;0.20252198647233
80;0.202977337450717
80.5;0.203430984021841
81;0.203882943092457
81.5;0.204333231298474
82;0.204781865010928
82.5;0.205228860341781
83;0.205674233149567
83.5;0.206117999044879
84;0.206560173395705
84.5;0.207000771332611
85;0.207439807753793
85.5;0.20787729733
86;0.208313254509292
86.5;0.208747693521716
87;0.209180628383815
87.5;0.209612072903056
88;0.210042040682108
88.5;0.21047054512303
89;0.210897599431352
89.5;0.211323216620032
90;0.211747409513326
90.5;0.212170190750555
91;0.212591572789787
91.5;0.213011567911399
92;0.213430188221579
92.5;0.213847445655728
93;0.214263351981774
93.5;0.214677918803408
94;0.21509115756325
94.5;0.215503079545909
95;0.215913695881014
95.5;0.216323017546121
96;0.216731055369593
96.5;0.217137820033381
97;0.217543322075758
97.5;0.217947571893984
98;0.218350579746887
98.5;0.218752355757434
99;0.21915290991517
99.5;0.219552252078679
100;0.219950391977921
100.5;0.220347339216562
101;0.220743103274216
101.5;0.221137693508671
