dist;gamma
0;0
0.5;3.44184011213646e-07
1;1.37666107436699e-06
1.5;3.09720630521512e-06
2;5.5054449873872e-06
2.5;8.60085270840311e-06
3;1.23827555499899e-05
3.5;1.68503303326163e-05
4;2.20026049141088e-05
4.5;2.7838458542206e-05
5;3.43566222608708e-05
5.5;4.15556793701515e-05
6;4.94340659393574e-05
6.5;5.79900713732948e-05
7;6.72218390312706e-05
7.5;7.71273668985562e-05
8;8.77045083099573e-05
8.5;9.89509727251486e-05
9;0.000110864326555352
9.5;0.000123441994040966
10;0.000136681258179684
10.5;0.000150579261704651
11;0.000165133008112147
11.5;0.000180339362738294
12;0.000196195053884241
12.5;0.000212696673989259
13;0.000229840680851154
13.5;0.000247623398893403
14;0.000266041020478353
14.5;0.000285089607265851
15;0.000304765091616607
15.5;0.000325063278039598
16;0.000345979844682802
16.5;0.000367510344866504
17;0.00038965020865841
17.5;0.000412394744489816
18;0.000435739140812005
18.5;0.000459678467792054
19;0.000484207679047237
19.5;0.000509321613417149
20;0.000535014996772679
20.5;0.000561282443860975
21;0.000588118460185447
21.5;0.000615517443919944
22;0.000643473687856128
22.5;0.000671981381383133
23;0.000701034612498515
23.5;0.00073062736984955
24;0.000760753544803878
24.5;0.000791406933548493
25;0.000822581239216085
25.5;0.000854270074037702
26;0.000886466961520705
26.5;0.000919165338650988
27;0.000952358558118402
27.5;0.000986039890564349
28;0.00102020252685045
28.5;0.00105483958034728
29;0.00108994408924199
29.5;0.00112550901886389
30;0.00116152726402674
30.5;0.00119799165138679
31;0.00123489494181543
31.5;0.00127222983278534
32;0.00130998896076905
32.5;0.00134816490364886
33;0.00138675018313692
33.5;0.00142573726720453
34;0.00146511857251935
34.5;0.00150488646688963
35;0.00154503327171424
35.5;0.00158555126443742
36;0.0016264326810072
36.5;0.00166766971833641
37;0.00170925453676509
37.5;0.0017511792625234
38;0.00179343599019379
38.5;0.00183601678517146
39;0.00187891368612204
39.5;0.00192211870743538
40;0.00196562384167448
40.5;0.0020094210620185
41;0.00205350232469877
41.5;0.00209785957142689
42;0.00214248473181376
42.5;0.00218736972577875
43;0.00223250646594776
43.5;0.00227788686003946
44;0.00232350281323856
44.5;0.00236934623055523
45;0.00241540901916978
45.5;0.0024616830907615
46;0.00250816036382103
