dist;gamma
0;0
0.5;1.83542709017909e-05
1;7.34125328639697e-05
1.5;0.000165161135537222
2;0.000293577334606472
2.5;0.000458629301187732
3;0.00066027613497622
3.5;0.000898467881137699
4;0.00117314555093397
4.5;0.00148424114606982
5;0.00183167768674818
5.5;0.00221536924341641
6;0.00263522097218616
6.5;0.00309112915390582
7;0.0035829812368635
7.5;0.00411065588309519
8;0.00467402301827265
8.5;0.00527294388514069
9;0.0059072711004747
9.5;0.00657684871552458
10;0.00728151227991106
10.5;0.00802108890893703
11;0.00879539735427635
11.5;0.00960424807799851
12;0.0104474433298879
12.5;0.0113247772280124
13;0.0122360358424968
13.5;0.0131809972824516
14;0.0141594317860093
14.5;0.0151711018134163
15;0.0162157621431271
15.5;0.0172931599708478
16;0.0184030350114717
16.5;0.0195451196038498
17;0.0207191388183374
17.5;0.0219248105670563
18;0.02316184571681
18.5;0.0244299482045898
19;0.0257288151556069
19.5;0.0270581370037834
20;0.0284175976146372
20.5;0.029806874410491
21;0.0312256384979366
21.5;0.0326735547974841
22;0.0341502821753244
22.5;0.0356554735771325
23;0.0371887761638379
23.5;0.0387498314492892
24;0.0403382754397358
24.5;0.0419537387750523
25;0.0435958468716287
25.5;0.0452642200668483
26;0.0469584737650777
26.5;0.0486782185850873
27;0.050423060508826
27.5;0.0521926010314697
28;0.053986437312664
28.5;0.0558041623288805
29;0.0576453650268072
29.5;0.059509630477692
30;0.0613965400325582
30.5;0.0633056714782114
31;0.0652365991939568
31.5;0.0671888943089458
32;0.0691621248600713
32.5;0.0711558559503298
33;0.0731696499075711
33.5;0.0752030664435538
34;0.0772556628132263
34.5;0.0793269939741551
35;0.0814166127460181
35.5;0.0835240699700854
36;0.0856489146686089
36.5;0.0877906942040414
37;0.0899489544380079
37.5;0.0921232398899526
38;0.0943130938953843
38.5;0.0965180587636443
39;0.0987376759351227
39.5;0.100971486137848
40;0.103219029543377
40.5;0.105479845921911
41;0.10775347479657
41.5;0.11003945559675
42;0.112337327810496
42.5;0.114646631135825
43;0.116966905630921
43.5;0.119297691863149
44;0.121638531056815
44.5;0.123988965239605
45;0.126348537387651
45.5;0.128716791569147
46;0.13109327308647
46.5;0.133477528616736
47;0.135869106350738
47.5;0.138267556130207
48;0.140672429583347
48.5;0.143083280258576
49;0.145499663756446
49.5;0.147921137859658
50;0.150347262661158
50.5;0.152777600690232
51;0.155211717036588
51.5;0.157649179472348
52;0.160089558571932
52.5;0.162532427829778
53;0.164977363775865
53.5;0.167423946088994
54;0.169871757707802
54.5;0.17232038493946
55;0.17476941756603
55.5;0.17721844894845
56;0.179667076128109
56.5;0.182114899925994
57;0.184561525039378
57.5;0.187006560136011
58;0.18944961794582
58.5;0.191890315350064
59;0.194328273467946
59.5;0.196763117740652
60;0.199194478012807
60.5;0.201621988611328
61;0.204045288421661
61.5;0.206464020961393
62;0.208877834451228
62.5;0.211286381883314
63;0.213689321086922
63.5;0.21608631479146
64;0.218477030686832
64.5;0.220861141481127
65;0.223238324955648
65.5;0.225608264017271
66;0.227970646748147
66.5;0.230325166452744
67;0.232671521702233
67.5;0.235009416376232
68;0.237338559701913
68.5;0.239658666290476
69;0.241969456171008
69.5;0.24427065482174
70;0.24656199319871
70.5;0.24884320776185
71;0.251114040498516
71.5;0.253374238944474
72;0.255623556202367
72.5;0.257861750957673
73;0.260088587492193
73.5;0.262303835695067
74;0.264507271071368
74.5;0.266698674748279
75;0.268877833478885
75.5;0.271044539643619
76;0.273198591249362
76.5;0.275339791926263
77;0.277467950922272
77.5;0.279582883095445
78;0.281684408904039
78.5;0.283772354394431
79;0.285846551186901
79.5;0.2879068364593
80;0.289953052928661
80.5;0.291985048830758
81;0.29400267789768
81.5;0.296005799333434
82;0.297994277787632
82.5;0.299967983327286
83;0.301926791406759
83.5;0.303870582835913
84;0.305799243746487
84.5;0.307712665556747
85;0.309610744934456
85.5;0.311493383758199
86;0.3133604890771
86.5;0.315211973068993
87;0.317047752997059
87.5;0.318867751165
88;0.320671894870782
88.5;0.322460116358978
89;0.32423235277178
89.5;0.325988546098698
90;0.327728643125011
90.5;0.329452595378995
91;0.331160359077984
91.5;0.332851895073304
92;0.334527168794128
92.5;0.336186150190283
93;0.337828813674069
93.5;0.339455138061123
94;0.341065106510373
94.5;0.342658706463135
95;0.344235929581375
95.5;0.345796771685204
96;0.347341232689628
96.5;0.348869316540616
97;0.350381031150501
97.5;0.351876388332787
98;0.353355403736377
98.5;0.354818096779286
99;0.356264490581855
99.5;0.357694611899533
100;0.35910849105525
100.5;0.36050616187142
101;0.361887661601632
101.5;0.36325303086204
102;0.364602313562516
102.5;0.365935556837589
103;0.36725281097721
103.5;0.368554129357383
104;0.369839568370703
104.5;0.371109187356817
105;0.372363048532872
105.5;0.373601216923959
106;0.374823760293602
106.5;0.376030749074321
107;0.377222256298304
107.5;0.378398357528211
108;0.379559130788161
108.5;0.380704656494905
109;0.381835017389249
109.5;0.382950298467723
110;0.384050586914551
110.5;0.385135972033933
111;0.38620654518268
111.5;0.387262399703216
112;0.388303630856983
112.5;0.389330335758274
113;0.390342613308506
113.5;0.391340564130977
114;0.392324290506116
114.5;0.393293896307253
115;0.394249486936928
115.5;0.395191169263769
116;0.396119051559948
116.5;0.397033243439243
117;0.397933855795719
117.5;0.398821000743055
118;0.399694791554525
118.5;0.400555342603652
119;0.40140276930556
119.5;0.402237188059026
120;0.403058716189258
120.5;0.403867471891404
121;0.404663574174816
121.5;0.40544714280807
122;0.406218298264761
122.5;0.406977161670089
123;0.407723854748225
123.5;0.408458499770505
124;0.409181219504417
124.5;0.409892137163425
125;0.410591376357624
125.5;0.411279061045224
126;0.411955315484891
126.5;0.412620264188934
127;0.413274031877351
127.5;0.413916743432738
128;0.414548523856058
128.5;0.415169498223295
129;0.415779791642965
129.5;0.416379529214511
130;0.416968835987579
130.5;0.417547836922168
131;0.418116656849662
131.5;0.418675420434745
132;0.419224252138195
132.5;0.419763276180558
133;0.420292616506704
133.5;0.420812396751256
134;0.4213227402049
134.5;0.421823769781566
135;0.422315607986476
135.5;0.422798376885065
136;0.423272198072759
136.5;0.423737192645618
137;0.424193481171829
137.5;0.424641183664048
138;0.425080419552589
138.5;0.425511307659451
139;0.425933966173174
139.5;0.426348512624524
140;0.426755063862997
140.5;0.427153736034131
141;0.42754464455763
141.5;0.427927904106274
142;0.428303628585634
142.5;0.42867193111455
143;0.429032924006396
143.5;0.429386718751098
144;0.429733425997916
144.5;0.430073155538966
145;0.430406016293476
145.5;0.430732116292777
146;0.431051562666003
146.5;0.431364461626503
147;0.431670918458945
147.5;0.431971037507113
148;0.432264922162373
148.5;0.432552674852812
149;0.432834397033025
149.5;0.43311018917455
150;0.433380150756938
150.5;0.433644380259439
151;0.433902975153304
151.5;0.434156031894687
152;0.434403645918135
152.5;0.434645911630652
153;0.434882922406333
153.5;0.435114770581555
154;0.435341547450703
154.5;0.435563343262434
155;0.435780247216464
155.5;0.435992347460853
156;0.436199731089801
156.5;0.436402484141916
157;0.436600691598971
157.5;0.43679443738511
158;0.436983804366516
158.5;0.437168874351512
159;0.437349728091097
159.5;0.437526445279895
160;0.43769910455751
160.5;0.437867783510281
161;0.438032558673416
161.5;0.4381935055335
162;0.438350698531366
162.5;0.438504211065318
163;0.438654115494692
163.5;0.438800483143746
164;0.438943384305873
164.5;0.439082888248116
165;0.43921906321599
165.5;0.439351976438579
166;0.439481694133924
166.5;0.439608281514669
167;0.439731802793968
167.5;0.439852321191637
168;0.43996989894055
168.5;0.440084597293254
169;0.440196476528813
169.5;0.440305595959849
170;0.440412013939799
170.5;0.440515787870348
171;0.440616974209051
171.5;0.440715628477134
172;0.440811805267448
172.5;0.440905558252589
173;0.440996940193163
173.5;0.441086002946186
174;0.441172797473628
174.5;0.441257373851068
175;0.441339781276469
175.5;0.441420068079071
176;0.441498281728369
176.5;0.441574468843198
177;0.441648675200902
177.5;0.441720945746575
178;0.441791324602386
178.5;0.441859855076966
179;0.44192657967485
179.5;0.441991540105982
180;0.442054777295259
180.5;0.442116331392123
181;0.442176241780179
181.5;0.442234547086856
182;0.44229128519308
182.5;0.442346493242972
183;0.442400207653557
183.5;0.442452464124485
184;0.442503297647746
184.5;0.442552742517398
185;0.442600832339272
185.5;0.442647600040682
186;0.442693077880105
186.5;0.442737297456854
187;0.442780289720721
187.5;0.442822084981591
188;0.442862712919027
188.5;0.442902202591823
189;0.44294058244751
189.5;0.442977880331828
190;0.443014123498147
190.5;0.44304933861684
191;0.443083551784607
191.5;0.44311678853374
192;0.443149073841334
192.5;0.443180432138437
193;0.443210887319133
193.5;0.443240462749564
194;0.443269181276887
194.5;0.443297065238148
195;0.443324136469101
195.5;0.443350416312941
196;0.443375925628963
196.5;0.443400684801149
197;0.443424713746665
197.5;0.443448031924288
198;0.44347065834274
198.5;0.443492611568947
199;0.443513909736204
199.5;0.44353457055226
200;0.443554611307312
200.5;0.443574048881911
201;0.443592899754776
201.5;0.443611180010519
202;0.443628905347278
202.5;0.443646091084262
203;0.44366275216919
203.5;0.443678903185655
204;0.443694558360375
204.5;0.443709731570366
205;0.443724436350008
205.5;0.443738685898021
206;0.443752493084346
206.5;0.443765870456929
207;0.443778830248408
207.5;0.443791384382709
208;0.443803544481539
208.5;0.443815321870788
209;0.443826727586837
209.5;0.443837772382764
210;0.443848466734462
210.5;0.443858820846658
211;0.443868844658834
211.5;0.443878547851064
212;0.443887939849743
212.5;0.443897029833237
213;0.443905826737426
213.5;0.443914339261167
214;0.443922575871653
214.5;0.443930544809692
215;0.443938254094885
215.5;0.44394571153072
216;0.443952924709575
216.5;0.44395990101763
217;0.443966647639694
217.5;0.44397317156394
218;0.443979479586559
218.5;0.443985578316324
219;0.443991474179069
219.5;0.443997173422087
220;0.444002682118439
220.5;0.444008006171185
221;0.444013151317533
221.5;0.444018123132906
222;0.444022927034927
222.5;0.444027568287327
223;0.444032052003779
223.5;0.444036383151646
224;0.444040566555662
224.5;0.444044606901531
225;0.444048508739455
225.5;0.444052276487588
226;0.444055914435418
226.5;0.444059426747078
227;0.444062817464586
227.5;0.444066090511015
228;0.444069249693599
228.5;0.444072298706762
229;0.444075241135096
229.5;0.444078080456257
230;0.444080820043809
230.5;0.444083463169998
231;0.444086013008469
231.5;0.444088472636915
232;0.444090845039675
232.5;0.444093133110259
233;0.444095339653832
233.5;0.444097467389625
234;0.444099518953301
234.5;0.444101496899257
235;0.444103403702878
235.5;0.444105241762737
236;0.444107013402736
236.5;0.444108720874204
237;0.44411036635794
237.5;0.444111951966206
238;0.444113479744676
238.5;0.444114951674328
239;0.4441163696733
239.5;0.444117735598693
240;0.44411905124833
240.5;0.444120318362474
241;0.444121538625497
241.5;0.444122713667514
242;0.444123845065971
242.5;0.444124934347189
243;0.444125982987875
243.5;0.444126992416593
244;0.44412796401519
244.5;0.44412889912019
245;0.444129799024157
245.5;0.444130664977007
246;0.4441314981873
246.5;0.444132299823488
247;0.444133071015136
247.5;0.444133812854105
248;0.444134526395706
248.5;0.444135212659821
249;0.444135872631997
249.5;0.444136507264504
250;0.444137117477367
250.5;0.444137704159372
251;0.444138268169041
251.5;0.44413881033558
