dist;gamma
0;0
0.5;0.00134635113511684
1;0.0014392334731731
1.5;0.00158309328330462
2;0.00177336084501234
2.5;0.00200660935751832
3;0.00228006194439279
3.5;0.00259136895759474
4;0.00293848612183672
4.5;0.0033195998703929
5;0.00373307797864222
5.5;0.00417743507357797
6;0.00465130750386687
6.5;0.00515343441413003
7;0.00568264310461325
7.5;0.00623783745202936
8;0.00681798857902907
8.5;0.00742212721489992
9;0.00804933735425514
9.5;0.00869875092953412
10;0.00936954328760005
10.5;0.0100609293128077
11;0.0107721600761196
11.5;0.0115025199169285
12;0.0122513238842893
12.5;0.0130179154793226
13;0.0138016646520212
13.5;0.0146019660145378
14;0.0154182372399275
14.5;0.0162499176207548
15;0.0170964667662982
15.5;0.0179573634205557
16;0.0188321043860587
16.5;0.019720203540794
17;0.0206211909374092
17.5;0.0215346119754295
18;0.0224600266385044
18.5;0.0233970087897823
19;0.0243451455194189
19.5;0.0253040365389883
20;0.0262732936182223
20.5;0.0272525400600538
21;0.028241410210418
21.5;0.0292395489996737
22;0.0302466115128617
22.5;0.0312622625863186
23;0.0322861764284387
23.5;0.0333180362626001
24;0.034357533990481
24.5;0.0354043698741664
25;0.036458252235607
25.5;0.0375188971721256
26;0.0385860282867935
26.5;0.0396593764326062
27;0.0407386794694864
27.5;0.0418236820332261
28;0.0429141353155598
28.5;0.0440097968546301
29;0.0451104303351648
29.5;0.0462158053977471
30;0.0473256974566063
30.5;0.048439887525403
31;0.0495581620505241
31.5;0.0506803127514426
32;0.0518061364677247
32.5;0.0529354350123058
33;0.0540680150306783
33.5;0.0552036878656629
34;0.0563422694274587
34.5;0.0574835800686855
35;0.0586274444641569
35.5;0.0597736914951339
36;0.0609221541378321
36.5;0.0620726693559644
37;0.0632250779971202
37.5;0.0643792246927919
38;0.0655349577618714
38.5;0.0666921291174535
39;0.0678505941767879
39.5;0.0690102117742361
40;0.0701708440770952
40.5;0.0713323565041583
41;0.072494617646892
41.5;0.0736574991931141
42;0.0748208758530654
42.5;0.0759846252877708
43;0.0771486280395957
43.5;0.0783127674649048
44;0.0794769296687373
44.5;0.0806410034414167
45;0.0818048801970183
45.5;0.0829684539136194
46;0.0841316210752638
46.5;0.0852942806155739
47;0.0864563338629481
47.5;0.0876176844872811
48;0.0887782384481549
48.5;0.0899379039444422
49;0.0910965913652713
49.5;0.0922542132423074
50;0.0934106842032957
50.5;0.0945659209268303
51;0.0957198420983005
51.5;0.0968723683669753
52;0.0980234223041883
52.5;0.0991729283625841
53;0.100320812836392
53.5;0.101467003822694
54;0.10261143118365
54.5;0.103754026509655
55;0.104894723083394
55.5;0.10603345584477
56;0.107170161356671
