dist;gamma
0;0
0.5;0.206858957762893
1;0.207136062183883
1.5;0.207413166557547
2;0.20769027086022
2.5;0.20796737506824
3;0.208244479157942
3.5;0.208521583105663
4;0.208798686887741
4.5;0.209075790480511
5;0.20935289386031
5.5;0.209629997003475
6;0.209907099886342
6.5;0.210184202485248
7;0.210461304776529
7.5;0.210738406736522
8;0.211015508341563
8.5;0.211292609567989
9;0.211569710392137
9.5;0.211846810790343
10;0.212123910738944
10.5;0.212401010214276
11;0.212678109192676
11.5;0.21295520765048
12;0.213232305564025
12.5;0.213509402909648
13;0.213786499663684
13.5;0.214063595802472
14;0.214340691302346
14.5;0.214617786139644
15;0.214894880290703
15.5;0.215171973731858
16;0.215449066439447
16.5;0.215726158389806
17;0.216003249559271
17.5;0.21628033992418
18;0.216557429460868
18.5;0.216834518145672
19;0.21711160595493
19.5;0.217388692864976
20;0.217665778852149
20.5;0.217942863892784
21;0.218219947963218
21.5;0.218497031039788
22;0.21877411309883
22.5;0.21905119411668
23;0.219328274069676
23.5;0.219605352934154
24;0.219882430686451
24.5;0.220159507302902
25;0.220436582759845
25.5;0.220713657033616
26;0.220990730100552
26.5;0.221267801936988
27;0.221544872519263
27.5;0.221821941823712
28;0.222099009826672
28.5;0.22237607650448
29;0.222653141833472
29.5;0.222930205789984
30;0.223207268350353
30.5;0.223484329490916
31;0.22376138918801
31.5;0.22403844741797
32;0.224315504157134
32.5;0.224592559381838
33;0.224869613068418
33.5;0.225146665193212
34;0.225423715732555
34.5;0.225700764662784
35;0.225977811960236
35.5;0.226254857601248
36;0.226531901562156
36.5;0.226808943819296
37;0.227085984349005
37.5;0.227363023127619
38;0.227640060131476
38.5;0.227917095336912
39;0.228194128720263
39.5;0.228471160257866
40;0.228748189926057
40.5;0.229025217701173
41;0.229302243559551
41.5;0.229579267477527
42;0.229856289431438
42.5;0.230133309397619
43;0.230410327352409
43.5;0.230687343272143
44;0.230964357133158
44.5;0.231241368911791
45;0.231518378584377
45.5;0.231795386127254
46;0.232072391516759
46.5;0.232349394729227
47;0.232626395740995
47.5;0.232903394528401
